UID          PID    PPID  C STIME TTY          TIME CMD
root         302       2  0 13:07 ?        00:00:00 [kworker/47:0H-events_highpri]
root         303       2  0 13:07 ?        00:00:00 [cpuhp/48]
root         304       2  0 13:07 ?        00:00:00 [idle_inject/48]
root         305       2  0 13:07 ?        00:00:01 [migration/48]
root         306       2  0 13:07 ?        00:00:00 [ksoftirqd/48]
root         308       2  0 13:07 ?        00:00:00 [kworker/48:0H-events_highpri]
root         309       2  0 13:07 ?        00:00:00 [cpuhp/49]
root         310       2  0 13:07 ?        00:00:00 [idle_inject/49]
root         311       2  0 13:07 ?        00:00:01 [migration/49]
root         312       2  0 13:07 ?        00:00:00 [ksoftirqd/49]
root         314       2  0 13:07 ?        00:00:00 [kworker/49:0H-kblockd]
root         315       2  0 13:07 ?        00:00:00 [cpuhp/50]
root         316       2  0 13:07 ?        00:00:00 [idle_inject/50]
root         317       2  0 13:07 ?        00:00:01 [migration/50]
root         318       2  0 13:07 ?        00:00:00 [ksoftirqd/50]
root         320       2  0 13:07 ?        00:00:00 [kworker/50:0H-events_highpri]
root         321       2  0 13:07 ?        00:00:00 [cpuhp/51]
root         322       2  0 13:07 ?        00:00:00 [idle_inject/51]
root         323       2  0 13:07 ?        00:00:01 [migration/51]
root         324       2  0 13:07 ?        00:00:00 [ksoftirqd/51]
root         326       2  0 13:07 ?        00:00:00 [kworker/51:0H-events_highpri]
root         327       2  0 13:07 ?        00:00:00 [cpuhp/52]
root         328       2  0 13:07 ?        00:00:00 [idle_inject/52]
root         329       2  0 13:07 ?        00:00:01 [migration/52]
root         330       2  0 13:07 ?        00:00:00 [ksoftirqd/52]
root         332       2  0 13:07 ?        00:00:00 [kworker/52:0H-events_highpri]
root         333       2  0 13:07 ?        00:00:00 [cpuhp/53]
root         334       2  0 13:07 ?        00:00:00 [idle_inject/53]
root         335       2  0 13:07 ?        00:00:01 [migration/53]
root         336       2  0 13:07 ?        00:00:00 [ksoftirqd/53]
root         338       2  0 13:07 ?        00:00:00 [kworker/53:0H-events_highpri]
root         339       2  0 13:07 ?        00:00:00 [cpuhp/54]
root         340       2  0 13:07 ?        00:00:00 [idle_inject/54]
root         341       2  0 13:07 ?        00:00:01 [migration/54]
root         342       2  0 13:07 ?        00:00:00 [ksoftirqd/54]
root         344       2  0 13:07 ?        00:00:00 [kworker/54:0H-kblockd]
root         345       2  0 13:07 ?        00:00:00 [cpuhp/55]
root         346       2  0 13:07 ?        00:00:00 [idle_inject/55]
root         347       2  0 13:07 ?        00:00:01 [migration/55]
root         348       2  0 13:07 ?        00:00:00 [ksoftirqd/55]
root         350       2  0 13:07 ?        00:00:00 [kworker/55:0H-events_highpri]
root         351       2  0 13:07 ?        00:00:00 [cpuhp/56]
root         352       2  0 13:07 ?        00:00:00 [idle_inject/56]
root         353       2  0 13:07 ?        00:00:01 [migration/56]
root         354       2  0 13:07 ?        00:00:00 [ksoftirqd/56]
root         356       2  0 13:07 ?        00:00:00 [kworker/56:0H-events_highpri]
root         357       2  0 13:07 ?        00:00:00 [cpuhp/57]
root         358       2  0 13:07 ?        00:00:00 [idle_inject/57]
root         359       2  0 13:07 ?        00:00:01 [migration/57]
root         360       2  0 13:07 ?        00:00:00 [ksoftirqd/57]
root         362       2  0 13:07 ?        00:00:00 [kworker/57:0H-events_highpri]
root         363       2  0 13:07 ?        00:00:00 [cpuhp/58]
root         364       2  0 13:07 ?        00:00:00 [idle_inject/58]
root         365       2  0 13:07 ?        00:00:01 [migration/58]
root         366       2  0 13:07 ?        00:00:00 [ksoftirqd/58]
root         368       2  0 13:07 ?        00:00:00 [kworker/58:0H-events_highpri]
root         369       2  0 13:07 ?        00:00:00 [cpuhp/59]
root         370       2  0 13:07 ?        00:00:00 [idle_inject/59]
root         371       2  0 13:07 ?        00:00:01 [migration/59]
root         372       2  0 13:07 ?        00:00:00 [ksoftirqd/59]
root         374       2  0 13:07 ?        00:00:00 [kworker/59:0H-events_highpri]
root         375       2  0 13:07 ?        00:00:00 [cpuhp/60]
root         376       2  0 13:07 ?        00:00:00 [idle_inject/60]
root         377       2  0 13:07 ?        00:00:01 [migration/60]
root         378       2  0 13:07 ?        00:00:00 [ksoftirqd/60]
root         380       2  0 13:07 ?        00:00:00 [kworker/60:0H-events_highpri]
root         381       2  0 13:07 ?        00:00:00 [cpuhp/61]
root         382       2  0 13:07 ?        00:00:00 [idle_inject/61]
root         383       2  0 13:07 ?        00:00:01 [migration/61]
root         384       2  0 13:07 ?        00:00:00 [ksoftirqd/61]
